Date		Location	Operator	Fatalities	On-board
27-Jun-1958	Near Chicopee Falls	Massachusetts	Military - U.S. Air Force	15	15
9-Jul-1958	Dhaka	Baangladesh	Indian Airlines	3	3
9-Aug-1958	Benghazi	Libya	Central African Airways	36	54
11-Aug-1958	Near Belem	Brazil	Loide A�reo Nacional	10	11
12-Aug-1958	Sakiya Saugye	Japan	All Nippon Airways	33	33
14-Aug-1958	"North Atlantic Ocean , 100 miles W of Galway Bay"	Ireland	KLM Royal Dutch Airlines	99	99
15-Aug-1958	Nantucket	Massachusetts	Northeast Airlines	25	34
15-Aug-1958	Near Chita	Russia	Aeroflot	64	64
2-Sep-1958	London	England	Independent Air Travel	3	3
2-Sep-1958		Off Guam	Military - U.S. Air Force	19	19
2-Sep-1958	Sasnashen	Russia	Military - U.S. Air Force	17	17
5-Sep-1958	Campina Grande	Brazil	Loide Aereo Nacional	13	44
7-Sep-1958	Kazakh	Russia	Aeroflot	27	27
8-Sep-1958	Near Fairchild AFB	Washington DC	Military - U.S. Air Force / U.S. Air Force	13	16
9-Sep-1958	Mount Oyama	Japan	Flying Tiger Line	8	8
15-Sep-1958	Triel	France	Military - U.S. Air Force	15	15
19-Sep-1958	Near Lazo	Russia	Aeroflot	28	28
29-Sep-1958		Over the Mediterranean Sea	Middle East Airlines	5	5
9-Oct-1958	Payette	Idaho	Military - U.S. Air Force	19	19
14-Oct-1958	Mt. Alto del Cedro	Venezuela	Linea Aeropostal Venezolana	23	23
15-Oct-1958	Villa Montes	Bolivia	TAM (Bolivia)	20	20
17-Oct-1958	Near Kanash	Russia	Aeroflot	80	80
18-Oct-1958	"NAS Argentia , Placentia Bay , Newfoundland"	Canada	Military - U.S. Navy	11	29
22-Oct-1958	Anzio	Italy	British European Airways	31	31
1-Nov-1958	Nipe Bay	Cuba	Cubana de Aviacion	17	20
3-Nov-1958	Near Roccatamburo di Poggiodomo	Italy	Yemen Airlines	8	8
8-Nov-1958	La Paz	Bolivia	TAM (Bolivia)	3	3
9-Nov-1958		North Atlantic Ocean	ARTOP Aerotopografica LDA	42	42
16-Nov-1958	Fort Collins	Colorado	Capitol Airways	2	2
4-Dec-1958	Guadarrama Mountains	Spain	Aviaco	21	21
23-Dec-1958	Tashkent	Uzbekstan	Aeroflot	21	21
24-Dec-1958	Winkton	England	BOAC	9	12
26-Dec-1958	"Salisbury , Zimbabwe (Harare"	Zimbabwe)	Union Aeromaritime de Transport	3	70
30-Dec-1958	Rio de Janeiro	Brazil	VASP	21	37
6-Jan-1959	Mt. Pena Blanca	Guatemala	Sahsa Airlines	5	5
8-Jan-1959	Mt. Holston	Tennessee	Southeast Airlines	10	10
11-Jan-1959	Rio de Janeiro	Brazil	Lufthansa	36	39
11-Jan-1959	Rio de Janerio	Brazil	Lufthansa	36	39
14-Jan-1959	Panther Peak	California	California Air Freight	2	2
16-Jan-1959	Off Mar del Plata	Argentina	Austral Lineas Aeras (Argentina)	51	52
18-Jan-1959	Stalingrad	Russia	Aeroflot	25	25
21-Jan-1959	Near Merida	Venezuela	Linea Expresa Bolivar	4	4
22-Jan-1959	Dabouk	Jordan	Air Jordan	10	15
27-Jan-1959	Brindisi	Italy	Air Charter	2	6
1-Feb-1959	Kerrville	Texas	General Airways	3	28
3-Feb-1959	Mason City	Iowa	Dwyer Flying Service - Private Charter	4	4
3-Feb-1959	"La Guardia Airport , New York"	NY	American Airlines	65	73
17-Feb-1959	"Gatwick , Surrey"	England	Turkish Airlines (THY)	14	24
18-Feb-1959	Belen	Chile	Southern Cross Airways	5	5
5-Mar-1959	Managua	Nicaragua	TACA	15	19
12-Mar-1959	Tobu	India	Indian Airlines	5	7
13-Mar-1959	Mahon	Spain	Aviaco	1	18
29-Mar-1959	Near Bangui	Central African Republic	Union Aeromaritime de Transport	9	9
29-Mar-1959	Near Silchar	India	Indian Airlines	24	24
30-Mar-1959	Alma	Georgia	Riddle Airlines	2	2
17-Apr-1959	Puerto Kino	Mexico	Tigres Voladores	26	26
23-Apr-1959	Van	Turkey	Air Charter	12	12
29-Apr-1959	Valdemeca	Spain	Iberia Airlines	28	28
2-May-1959	Mallorca	Spain	Austria-Flugdienst	5	5
12-May-1959	Chase	Maryland	Capital Airlines	31	31
12-May-1959	Charleston	West Virginia	Capital Airlines	2	44
13-May-1959	Near Toumavista	Peru	Transportes Aereos Peruanos	12	12
15-May-1959	Off Mar del Plata	Aregntina	Aerolineas Argentinas	10	10
21-May-1959	Moro	Peru	Lineas A�reas Interpolar	8	8
1-Jun-1959		Nicaragua	Aerolineas Nacionales	60	60
5-Jun-1959	Near Sheyma	Alaska	Militiary - US Air Force	19	19
23-Jun-1959	Cerros Baco	Peru	AVIANCA	14	14
26-Jun-1959	"Near Varese , Lombardia , 20 miles NW of Milan"	Italy	Trans World Airlines	68	68
30-Jun-1959	"Ishikawa City , Ryukyu Island"	Okinawa	Military - U.S. Air Force	0	1
3-Aug-1959	Sagone	India	Kalinga Airlines	6	6
14-Aug-1959	Karachi	Pakistan	Pakistan International Airlines	2	3
15-Aug-1959	Calverton	New York	American Airlines	5	5
19-Aug-1959	Near Barcelona	Spain	Transair	32	32
27-Aug-1959	Near Asuncion	Paraguay	Aerolineas Argentinas	2	50
2-Sep-1959	Abilene	Texas	Aaxico Airlines	2	2
8-Sep-1959	Poza Rica	Mexico	Mexicana	1	16
12-Sep-1959	Near Tegucigalpa	Honduras	Pan American World Airways	3	3
23-Sep-1959	Sao Paulo	Brazil	VASP	20	20
24-Sep-1959	Great Sitkin Island	Alaska	Reeve Aleutian Airlines	16	16
24-Sep-1959	Bordeaux	France	T.A. Intercontinentaux (France)	54	65
29-Sep-1959	Buffalo	Texas	Braniff Airlines	34	34
6-Oct-1959	Paloemeu	Suriname	Kappel-Van Eyck Airways	2	2
23-Oct-1959	Near Moscow	Russia	Aeroflot	28	28
26-Oct-1959	Santa Maria	California	Pacific Air Lines	1	19
29-Oct-1959	Athens	Greece	Olympic Airways	18	18
30-Oct-1959	Waynesborough	Virginia	Piedmont Airlines	26	27
4-Nov-1959	"St. Cleophas , Quebec"	Canada	Wheeler Airlines	5	5
16-Nov-1959	"Lvov , Ukraine"	USSR	Aeroflot	40	40
16-Nov-1959		Gulf of Mexico	National Airlines	42	42
21-Nov-1959	Beirut	Lebanon	Ariana Afghan Airlines	24	27
24-Nov-1959	Chicago	Illinois	Trans World Airlines	3	3
1-Dec-1959	Willamsport	Pennsylvania	Allegheny Airlines	25	26
8-Dec-1959	Off Cartagena	Colombia	Sociedad Aeronautica Medellin	45	45
13-Dec-1959	"Near Tashkent , Uzbekistan"	USSR	Aeroflot	29	29
17-Dec-1959	Ketchikan	Alaska	California Aircraft	3	3
21-Dec-1959	Rome	Italy	Alitalia	2	2
22-Dec-1959	Rio de Janeiro	Brazil	VASP	32	32
24-Dec-1959	Palembang	Indonesia	Garuda Indonesia Airlines	1	2
31-Dec-1959	Near San Jose de Chiquitos	Bolivia	Lloyd Aereo Boliviano	11	11
3-Jan-1960	Taksing	India	Indian Airlines	9	9
6-Jan-1960	Wilmington/Bolivia	North Carolina	National Airlines	34	34
10-Jan-1960		Gulf of Sirte	Military - U.S. Army	10	10
18-Jan-1960	Charles City	Virginia	Capital Airlines	50	50
19-Jan-1960	Ankara	Turkey	Scandinavian Airlines (SAS)	42	42
21-Jan-1960	Montego Bay	Jamacia	AVIANCA	37	46
26-Jan-1960	Off Bathurst Island	Australia	Transportes A�reos de Timor	9	9
5-Feb-1960	Laguna de Huana-Costa	Bolivia	Lloyd Aereo Boliviano	59	59
26-Feb-1960	Lvov-Snilow	Ukraine	Aeroflot	32	33
26-Feb-1960	Rio de Janeiro	Brazil	REAL / Military - U.S. Navy	61	61
26-Feb-1960	Shannon	Ireland	Alitalia	34	52
26-Feb-1960	"Lvov , Ukraine"	USSR	Aeroflot	32	32
15-Mar-1960	El Refugio	Colombia	Agencia Interamericana de Aviada	6	13
16-Mar-1960	Nagoya	Japan	All Nippon Airways	3	33
17-Mar-1960	"Near Cannelton , 10 mile SE of Tell City"	Indiana	Northwest Orient Airlines	63	63
19-Mar-1960	Cordoba	Colombia	SAMSA	25	46
5-Apr-1960	Siuna	Nicaragua	Lanica	2	18
12-Apr-1960	Pelotas	Brazil	Cruzeiro	10	22
14-Apr-1960	Taipei	Taiwan	Military - Royal Thai Air Force	18	18
18-Apr-1960	Stephenville	Newfoundland	Military - U.S. Air Force	9	9
19-Apr-1960	Bogota	Colombia	Lloyd Aereo Colombiano	37	51
20-Apr-1960	Hickory	North Carolina	Piedmont Airlines / Private	4	44
22-Apr-1960	Bunia	Belgian Congo	Sobelair SA (Belgium)	35	35
28-Apr-1960	Near Calabozo	Venezuela	Linea Aeropostal Venezolana	13	13
15-May-1960	Jebel Marra	Sudan	Balair	12	12
18-May-1960	El Sosneado	Argentina	Transamerican Air Transport	10	10
23-May-1960	Atlanta	Georgia	Delta Air Lines	4	4
10-Jun-1960	Off  Mackay	Qld. Australia	Trans Australia Airlines	29	29
10-Jun-1960	Nea Tkvarcheli	Georgia	Aeroflot	31	31
14-Jun-1960	Mt. Gilbert	Alaska	Pacific Northern Airlines	14	14
24-Jun-1960	Rio de Janeiro	Brazil	REAL	54	54
