Date		Location	Operator	Fatalities	On-board
17-Sep-1908	Fort Myer	Virginia	Military - U.S. Army	1	2
7-Sep-1909	Juvisy-sur-Orge	France	?	1	1
12-Jul-1912	Atlantic City	New Jersey	Military - U.S. Navy	5	5
6-Aug-1913	"Victoria , British Columbia"	Canada	Private	1	1
9-Sep-1913		Over the North Sea	Military - German Navy	14	20
17-Oct-1913	Near Johannisthal	Germany	Military - German Navy	30	30
5-Mar-1915	Tienen	Belgium	Military - German Navy	21	41
3-Sep-1915	Off Cuxhaven	Germany	Military - German Navy	19	19
28-Jul-1916	Near Jambol	Bulgeria	Military - German Army	20	20
24-Sep-1916	Billericay	England	Military - German Navy	22	22
1-Oct-1916	Potters Bar	England	Military - German Navy	19	19
21-Nov-1916	Mainz	Germany	Military - German Army	27	28
28-Nov-1916	Off West Hartlepool	England	Military - German Navy	20	20
4-Mar-1917	Near Gent	Belgium	Military - German Army	20	20
30-Mar-1917		Off Northern Germany	Military - German Navy	23	23
14-May-1917	Near Texel Island	North Sea	Military - German Navy	21	21
14-Jun-1917	Off Vlieland Island	North Sea	Military - German Navy	24	24
17-Jun-1917	Near Yarmouth	England	?	14	16
21-Aug-1917		Off western Denmark	Military - German Navy	18	18
20-Oct-1917	Near Luneville	France	Military - German Navy	18	18
7-Apr-1918		Over the Mediterranean	Military - German Navy	23	23
10-May-1918	Off Helgoland Island	Germany	Military - German Navy	22	22
11-Aug-1918	Ameland Island	North Sea	Military - German Navy	19	19
16-Dec-1918	Elizabeth	New Jersey	US Aerial Mail Service	1	1
25-May-1919	Cleveland	Ohio	US Aerial Mail Service	1	1
19-Jul-1919	Dix Run	Pennsylvania	US Aerial Mail Service	1	1
2-Aug-1919	Verona	Italy	Caproni Company	14	14
2-Oct-1919	Newcastle	England	Aircraft Transport and Travel	1	1
14-Oct-1919	Cantonsville	Maryland	US Aerial Mail Service	1	1
20-Oct-1919		English Channel	Aircraft Transport and Travel	?	?
30-Oct-1919	Long Valley	New Jersey	US Aerial Mail Service	1	1
11-Dec-1919	"Catherham , Surrey"	UK	Aircraft Travel Transport	1	1
10-Mar-1920	New Paris	Indiana	US Aerial Mail Service	1	1
30-Mar-1920	Newark	New Jersey	US Aerial Mail Service	1	1
10-Apr-1920	Newark	New Jersey	US Aerial Mail Service	1	2
11-Apr-1920	Heller Field	New Jersey	US Aerial Mail Service	1	2
12-May-1920	Oskaloosa	Iowa	US Aerial Mail Service	1	2
6-Jun-1920	Cleveland	Ohio	US Aerial Mail Service	1	1
20-Jun-1920	Cartagena	Columbia	Compa�ia Colombiana de Navegaci�n A�rea	1	1
16-Aug-1920	Bedford	England	By Air	1	1
16-Aug-1920	College Park	Maryland	US Aerial Mail Service	1	1
1-Sep-1920	Morristown	New Jersey	US Aerial Mail Service	2	2
15-Sep-1920	Pemberville	Ohio	US Aerial Mail Service	2	2
27-Sep-1920	Hillersburg	Pennsylvania	US Aerial Mail Service	1	1
2-Oct-1920	Off Port Vendres	France	Latecoere Airlines	2	2
5-Oct-1920	Valencia	Spain	Latecoere Airlines	2	2
15-Oct-1920	Batavia	Illinois	US Aerial Mail Service	1	1
7-Nov-1920	Tie Siding	Wyoming	US Aerial Mail Service	1	1
14-Dec-1920	London	England	Handley Page Transport	4	8
24-Dec-1920	Barcelona	Spain	Aeropostale	1	1
3-Feb-1921	Mendotta	Minnisota	US Aerial Mail Service	1	1
9-Feb-1921	La Crosse	Wisconsin	US Aerial Mail Service	3	3
15-Feb-1921		Off Gibraltar	Aeropostale	2	2
22-Feb-1921	Elko	Nevada	US Aerial Mail Service	1	1
6-Apr-1921	Point Cook	Australia	Military - Royal Australian Air Force	1	2
21-Apr-1921	Mitchel Field	NY	US Aerial Mail Service	1	1
29-Apr-1921	Cleveland	Ohio	US Aerial Mail Service	1	1
17-May-1921	Rock Springs	Wyoming	US Aerial Mail Service	1	1
14-Aug-1921	Toulouse	France	Aeropostale	2	2
24-Aug-1921	River Humber	England	Military - Royal Airship Works	46	46
6-Sep-1921	Paris	France	Franco-Roumaine	5	5
5-Dec-1921	Near Murchinson River	Australia	West Australian Airways	3	3
14-Jan-1922	Paris	France	Handley Page Transport	5	5
21-Feb-1922	Near Norfolk	Virginia	Military - U.S. Army Air Service	34	45
22-Mar-1922		North Atlantic Ocean	Aero Limited	5	6
7-Apr-1922	Grandvilliers	France	Daimler Airways / Grands Express Aeriens	7	7
8-Apr-1922	Pao Ting Fou	China	?	17	17
3-Jun-1922	"Off Folkestone , Kent"	England	Cie des Messageries Aeriennes	3	3
4-Jul-1922	Fuhlsbuttel	Germany	?	2	3
16-Jul-1922	"Near Saverne , Lorraine"	France	Compagnie Franco-Roumaine de Navigaation Aerienne	5	5
26-Jul-1922	Cadix	Spain	Grands Express Aeriens	3	3
7-Sep-1922	Indianapolis	Indiana	US Aerial Mail Service	1	1
2-Oct-1922	Venice	Italy	?	4	4
25-Oct-1922	Larache	Morocco	Grands Express Aeriens	2	2
3-Dec-1922	Fez	Morocco	Grands Express Aeriens	1	1
10-Jan-1923	Ajaccio	France	Amee de l'Air	3	4
17-Jan-1923	Barcelona	Spain	Grands Express Aeriens	1	1
18-Jan-1923	Cheyenne	Wyoming	US Aerial Mail Service	1	1
26-Feb-1923	Meadville	Pennsylvania	US Aerial Mail Service	1	1
14-May-1923	"Near Amiens , Picrdie"	France	Grands Express Aeriens (Air Union)	6	6
27-Aug-1923	Bucharest	Romania	Campagnie France Roumaine	2	2
7-Sep-1923	Colton	Ohio	US Aerial Mail Service	1	1
14-Sep-1923	"Near Ivinghoe , Buckinghamshire"	England	Daimler Airways	5	5
18-Nov-1923		Russia	CCCP	2	4
6-Dec-1923	Castalia	Ohio	US Aerial Mail Service	1	1
23-Dec-1923		Over the Mediterranean Sea	Military - French Navy	52	52
24-Dec-1923	Egbert	WY	US Aerial Mail Service	1	1
7-Mar-1924	Grampian	Pennsylvania	US Aerial Mail Service	1	1
24-Apr-1924		Over the English Channel	KLM Royal Dutch Airlines	3	3
8-Jun-1924	Barranquilla	Colombia	SCADTA	5	5
1-Aug-1924		United States	US Aerial Mail Service	1	1
6-Nov-1924	Cabrerolles	France	Grands Express Aeriens	1	1
21-Dec-1924	Goshen	Indiana	US Aerial Mail Service	1	1
24-Dec-1924	Purley	England	Imperial Airways	8	8
22-Mar-1925	"Near Tiflis , Georgia"	USSR	Zakavia	5	5
25-Apr-1925	Alicante	Spain	Grands Express Aeriens	4	4
25-May-1925	Alicante	Spain	Lignes Aeriennes Latecoere	2	2
25-Jun-1925	Landr�cies	France	KLM Royal Dutch Airlines	4	4
26-Jun-1925	Alicante	Spain	Grands Express Aeriens	2	2
20-Jul-1925	Rosas	Spain	Lignes Aeriennes Latecoere	1	1
24-Jul-1925	Budapest	Hungary	CIDNA	1	1
3-Sep-1925	Caldwell	Ohio	Military - U.S. Navy	14	43
7-Sep-1925	Toul	France	CIDNA	3	3
1-Oct-1925	Nittany Mt	Ohio	US Aerial Mail Service	1	1
14-Nov-1925	Off Boulogne-sur-Mer	France	Air Union	2	2
12-Feb-1926	Montpelier	Ohio	US Aerial Mail Service	1	1
8-Mar-1926	Staaken	Germany	Deutche Lufthansa	1	1
31-May-1926		English Channel	Air Union	1	1
3-Jul-1926	Rossaugpt	Czechoslovakia	Compagnie Internationale de Navigation A�rienne	6	6
9-Jul-1926	Wolvertem	Belgium	KLM Royal Dutch Airlines	2	2
24-Jul-1926	Juist	Germany	Deutsche Lufthansa	5	5
18-Aug-1926	"Hurst , Kent"	England	Air Union	4	4
26-Sep-1926	New York	New York	?	2	5
2-Oct-1926	"Leigh , Kent"	Unied Kingdom	Air Union	7	7
8-Oct-1926	Bueren	Germany	Deutsche Lufthansa	4	4
21-Oct-1926		English Channel	Imperial Airways	0	12
11-Nov-1926	Cape Bojador	Morocco	Grands Express Aeriens	3	3
16-Dec-1926	Medford	Oregon	Pacific Air Transport	1	1
12-Jan-1927	Estaires	France	Fokker	0	0
20-Mar-1927	Rabat	Morocco	Grands Express Aeriens	1	1
24-Mar-1927	"Tambo , Qld"	Australia	Qantas	3	3
15-Apr-1927	King Hill	Idaho	Varney Air Lines	1	1
22-Apr-1927	Floh	Germany	Deutsche Lufthansa	2	2
22-Apr-1927	Goshen	Indiana	US Aerial Mail Service	1	1
2-May-1927	Algiers	Algeria	Air Union	1	3
27-Jul-1927	Amoneburg	Germany	Deutsche Lufthansa	5	5
22-Aug-1927	Sevenoaks	England	KLM Royal Dutch Airlines	1	11
3-Sep-1927	Willington	Connecticut	Colonial Air Transport	1	1
17-Sep-1927	Near Dunellen	New Jersey	Reynolds Airways	7	7
17-Sep-1927	Hadley	New Jersey	Reynolds Airways	7	12
23-Sep-1927	Schleiz	Germany	Deutsche Lufthansa	6	6
23-Sep-1927	"Near schleiz , Thuringia , "	Germany	Deutsche Lufthansa	6	6
6-Oct-1927	Thies	Mauritania	Lignes Aeriennes Latecoere	2	2
30-Oct-1927	New Brunswick	New Jersey	Colonial Air Transport	4	4
8-Nov-1927	Strasburg	France	CIDNA	1	1
16-Nov-1927		Over the Gulf of Finland	Aero O-Y	6	6
29-Nov-1927	Corunna	Indiana	National Air Transport	1	1
28-Dec-1927	Almeria	Spain	Aeropostale	1	1
31-Dec-1927	Near Marseille	France	Latecoere Airlines	5	5
8-Jan-1928	Near Canajoharie	New York	Colonial Western Airlines	3	3
16-Jan-1928	Solis	Uruguay	Aeropostale	2	2
22-Jan-1928	Tarragona	Spain	Aeropostale	2	2
22-Jan-1928		Ari�ge	Aeropostale	1	2
27-Jan-1928	Almeria	Spain	Aeropostale	1	1
26-Feb-1928	Marquette	Nebraska	Boeing Air Transport	1	2
11-Mar-1928	Off Cape Griz Nez	France	Air Union	2	2
17-Apr-1928	Federal	Wyoming	Boeing Air Transport	1	2
19-Apr-1928	Minuesa	Spain	Iberia Airlines	9	9
7-May-1928	Florianopolis	Brazil		1	5
12-May-1928	Dearborn	Minnesota	Ford Air Freight Inc.	2	2
26-May-1928	Radevormwald	Germany	Deutsche Lufthansa	3	5
14-Jun-1928	Frankfurt	Germany	Deutsche Lufthansa	5	5
22-Jun-1928	Lebo	Kansas	National Air Transport	1	1
10-Jul-1928		Over the Gulf of Finland	Aero O-Y	6	6
13-Jul-1928	Purley	England	Imperial Airways	4	6
24-Jul-1928	Waalhaven	Netherlands	KLM Royal Dutch Airlines	1	6
25-Aug-1928	"Near Port Townsend , BC"	Canada	British Columbia Airways	7	7
2-Sep-1928	Toul	France	CIDNA	5	5
4-Sep-1928	Adelaide Hills	Australia	Qantas	1	2
4-Sep-1928	Pocatello	Idaho	National Parks Airways	7	7
6-Sep-1928	Heroldbach	Germany	Deutsche Lufthansa	3	3
4-Oct-1928	Gerona	Spain	Aeropostale	3	3
18-Oct-1928	Polk	Pennsylvania	National Air Transport	1	1
31-Oct-1928	Valence	France	Air Union	1	2
15-Nov-1928		Off Gibraltar	Aeropostale	1	3
24-Nov-1928	Edgerton	Ohio	Universal Airlines	3	3
25-Nov-1928	Edgerton	Ohio	Continental Air Lines	1	1
25-Nov-1928	Bristolville	Ohio	National Air Transport	1	1
1-Dec-1928	Spur	Texas	Sunbeam Air Transport Co.	5	5
3-Dec-1928	Near Rio de Janeiro	Brazil	Syndicato Condor	14	14
10-Dec-1928	Spokan	Washington	Spokane Airways	5	5
11-Dec-1928	Letzlingen	Germany	Deutsche Lufthansa	3	4
20-Dec-1928	Huron	Ohio	National Air Transport	1	1
23-Dec-1928	Chattanooga	Tennessee	Interstate Airlines	4	4
31-Dec-1928	Reims	France	CIDNA	2	3
5-Jan-1929	Stafford Springs	Connecticut	Colonial Air Transport	1	1
18-Jan-1929	Cove	Oregon	Varney Air Lines	1	1
25-Jan-1929	Near Corfu	Greece	Aeroespresso	2	9
31-Jan-1929		Off Morocco	Aeropostale	2	2
31-Jan-1929	Morgantown	West Virginia	Skyline Transportation Company	1	1
17-Mar-1929	Newark	New Jersey	Colonial Western Airlines	14	15
30-Mar-1929	Near Beaumont	California	New Standard Airlines	4	4
21-Apr-1929	San Diego	California	Maddux Airlines / Military - U.S.Army Air Force	6	6
9-May-1929	Tampico	Mexico	Mexicana	5	5
18-May-1929		Hungary	MALERT	2	2
22-May-1929		Algiers	Aeropostale	4	6
10-Jun-1929	Santiago de Cuba	Cuba	Pan American Airways	2	5
14-Jun-1929	Barcelona	Spain	Aeropostale	1	2
17-Jun-1929	Off Dungeness	England	Imperial Airways	7	13
24-Jun-1929	St. Paul	Minnesota	Northwest Orient Airlines	1	8
29-Jun-1929	Columbus	Ohio	Continental Air Lines	1	1
29-Jun-1929	"Near Lindau , Bavaria"	Germany	Bodensee Aerolloyd	5	5
11-Aug-1929	Clovis	New Mexico	Middle States Airlines	4	4
24-Aug-1929	Elm	Germany	Deutsche Lufthansa	4	5
24-Aug-1929	Sochi	Russia	Ukvozduchput	1	1
2-Sep-1929	Needles	California	Associated Aviators	1	2
3-Sep-1929	"Mt. Taylor , near Grants"	New Mexico	Trans Continental Air Transport	8	8
6-Sep-1929	Jask	Iran	Imperial Airways	3	5
14-Sep-1929		North Atlantic Ocean	Aeropostale	6	6
14-Sep-1929	Saint Catharines	Ontario	Skyways	6	6
17-Sep-1929	Mt Lamentation	Connecticut	Colonial Air Transport	1	1
17-Sep-1929	Jacumba	California	Pickwick Airways	1	2
17-Sep-1929	Off Larache	Morocco	Aeropostale	5	5
26-Oct-1929	Off Spezia	Italy	Imperial Airways	7	7
29-Oct-1929	Mount Vernon	Ohio	Continental Air Lines	1	1
31-Oct-1929	Off Bremerton	Washington	Bremerton-Seattle Air Taxi / Gorst Air Lines	2	2
4-Nov-1929	Cerro del Carbon	Mexico	Corp. Aeronautica de Transportes	4	4
6-Nov-1929	"Near Godstone , Surrey"	England	Deutsche Lufthansa	7	8
15-Nov-1929	Off Corsica	France	Air Union	3	3
20-Nov-1929	Terranova Pausania	East Sardinia	S.A.M. Societ� Aerea Mediterranea	1	12
30-Nov-1929	Vancouver	Washington	Varney Air Lines	1	1
2-Dec-1929	Chagrin Falls	Ohio	National Air Transport	1	1
19-Dec-1929	Near Berlin	Germany	Deutsche Lufthansa	2	3
30-Dec-1929	Amarillo	Texas	Trans Continental Air Transport	5	5
10-Jan-1930	Brawnson	Nebraska	Boeing Air Transport	1	1
13-Jan-1930	Antananarivo	Madagascar	Air Orient	3	3
19-Jan-1930	Oceanside	California	Maddux Airlines	16	16
25-Jan-1930	Off Ceuta	Spain	Aeropostale	2	2
27-Jan-1930	Kansas City	Missouri	Central  Airlines (Universal Aviation Corporation)	5	5
3-Feb-1930	Hartford	Connecticut	Colonial Air Transport	1	1
10-Feb-1930	Marden	England	Air Union	6	2
18-Apr-1930	Jersey City	New Jersey	Canadian Colonial Airways	4	4
10-May-1930	Buenos Aires	Argentina	Aeropostale	4	3
5-Jun-1930	Boston	Massachusetts	Colonial Air Transport	15	1
7-Jul-1930	Bornholm	Denmark	Deutsche Lufthansa	8	5
10-Jul-1930	Arkansas Pass	Texas	Cross Airways	5	5
21-Jul-1930	"Near Meopham , Kent"	England	Walcot Air Line	6	6
22-Aug-1930	Iglau	Czechoslovakia	Ceskoslovenske Aerolinie	11	10
11-Sep-1930	Croydon	England	Sabena	2	2
25-Sep-1930	"Edmonton , Alberta"	Canada	Western Canada Airways	3	3
5-Oct-1930	Near Beauvais	France	Military - British Air Ministry	54	48
6-Oct-1930	Dresden	Germany	Deutsche Lufthansa	8	8
12-Oct-1930	La Rache	Morocco	Aeropostale	4	4
13-Oct-1930	Perth	Australia	Wings Ltd	3	3
28-Oct-1930	"Prince Rupert , BC"	Canada	Alaska-Washington Airways	3	3
30-Oct-1930	Near Neufchatel	France	Imperial Airways	6	3
30-Oct-1930	Brookston	Indiana	Embry Riddle Company	1	1
7-Nov-1930	Off of Santos	Brazil	Syndicato Condor	9	1
18-Nov-1930	Techachapi Mountains	California	Pacific Air Transport	3	3
9-Dec-1930	Shanghai	China	China National Aviation Corporation	6	4
8-Jan-1931	Melle	Belgium	Sabena	2	2
22-Jan-1931	Bluff Mountain	Washington	Varney Air Lines	1	1
8-Feb-1931	Wairoa	New Zealand	Dominion Air Lines	3	3
20-Feb-1931	"Bagot , Manitoba"	Canada	Western Canada Airways	2	3
24-Feb-1931		Off Spain	Aeropostale	1	3
21-Mar-1931	New South Wales	Australia	Australian National Airways	8	8
31-Mar-1931	Bazaar	Kansas	Trans Continental and Western Air	8	8
14-Apr-1931	Near Letschen	Germany	Deutsche Lufthansa	2	10
5-May-1931	Burbank	California	Pacific Air Transport	2	2
22-May-1931	Wampit	Australia	Guiena Airways	1	1
24-May-1931	Bellefonte	Pennsylvania	National Air Transport	1	1
7-Jun-1931	Near Sandoway	Burma	Air Orient	4	4
11-Jun-1931	Walbridge	Ohio	Rubner Flying Service	2	3
13-Jun-1931	Saarbrucken	Germany	Deutsche Lufthansa	4	4
12-Jul-1931	Chicago	Illinois	Braniff Airlines	2	2
14-Jul-1931	Temora	Australia	Australian Aerial Services	2	2
21-Jul-1931	Centralia	Illinois	American Airways	1	1
24-Jul-1931	Kurudjevo	Bulgaria	CIDNA	7	7
9-Aug-1931	Cincinnati	Ohio	American Airways	6	6
14-Sep-1931	Chicago	Illinois	Chicago-Detroit Airways	1	1
15-Sep-1931	"Near Craiova , Oltenia"	Romania	CIDNA	6	6
16-Sep-1931	Oakland	California	Pacific Air Transport	4	4
6-Oct-1931	Novia Scotia	Canada	Deutsche Lufthansa	3	3
14-Oct-1931		Brazil	Syndicato Condor	3	3
5-Nov-1931	Camden	New Jersey	"NY, Phil., Washington AW"	5	5
13-Nov-1931	Sir Lowry's pass	South Africa	Union Airways	3	3
23-Nov-1931	Salt Lake City	Utah	Boeing Air Transport	1	1
24-Nov-1931	Near Tsinan	China	China National Aviation Corporation	3	3
26-Nov-1931	Pasco	Washington	Varney Air Lines	1	1
5-Dec-1931	Kewanee	Illinois	Braniff Airways	2	6
6-Dec-1931	Bangkok	Thailand	KLM Royal Dutch Airlines	5	7
9-Dec-1931		Off Algiers	Aeropostale	2	2
31-Dec-1931	Springfield	Ohio	American Airways	4	5
21-Jan-1932	Colvin Park	Ilinois	Northwest Airways	1	1
29-Jan-1932	Lebec	California	Century Pacific Lines	8	8
1-Feb-1932	Off Miami	Florida	Bimini Airways	5	5
2-Feb-1932	Marcellus	Michigan	Transamerican Airlines	1	1
2-Feb-1932	Rio Vista	California	Boeing Air Transport	1	2
27-Feb-1932	Off Setiba	Brazil	Aeropostale	3	3
8-Mar-1932	Saint Louis	Illinois	Century Air Lines	2	5
19-Mar-1932	Calimesa	California	American Airways	7	7
21-Mar-1932	Steubenville	Ohio	Trans Continental and Western Air	1	1
29-Mar-1932		Syria	Air Orient	3	3
31-Mar-1932	Bedford	Ohio	National Air Transport	1	1
21-Apr-1932	Fort Wayne	Indiana	Transamerica Airlines	1	1
3-May-1932	Portland	Oregon	Varney Air Lines	2	2
16-May-1932	Burbank	California	Pacific Air Transport	3	3
16-Jul-1932	"Mount El Plomo , near Vitacura"	Chile	Panagra	9	9
12-Aug-1932	Beyrouth	Lebanon	Air Orient	1	7
30-Aug-1932	Tubergen	Germany	A B Aerotransport	2	2
8-Sep-1932	Salt Flats	Texas	American Airways	3	4
17-Sep-1932	Selsdon Park	England	Air Union	1	2
18-Sep-1932	Byron Bay	Australia	New England Airways	3	3
12-Oct-1932	Port Etienne	Mauritania	Aeropostale	1	1
26-Oct-1932	Villa Monte	Bolivia	Lloyd Aero Boliviano	2	2
29-Oct-1932	Ramsgate	England	Deutsche Lufthansa	2	2
2-Nov-1932	Echterpfuhl	Germany	Deutsche Lufthansa	5	5
25-Nov-1932	Marianna	Arkansas	Hunter Airways	2	2
14-Dec-1932	Rocky Ridge	Colorado	Boeing Air Transport	1	1
14-Dec-1932	Amarillo	Texas	Trans Continental and Western Air	2	2
26-Dec-1932	Wau	Australia	Guinea Airways	2	2
10-Jan-1933		Algiers	Aeropostale	1	1
14-Jan-1933	Newark	New Jersey	Eastern Air Transport	2	2
20-Jan-1933	Bourne	Texas	American Airways	1	1
20-Jan-1933	Marietta	Georgia	American Airways	1	1
24-Jan-1933	Eugene	Oregon	Pacific Air Transport	1	3
11-Mar-1933	Near Mendoza	Argentina	Pan American Grace Airways	2	2
25-Mar-1933	Hayward	California	Varney Airlines	3	3
28-Mar-1933	Near Dixmude	Belgium	Imperial Airways	15	15
3-Apr-1933	Hemkenrode	Germany	Deutsche Lufthansa	1	2
4-Apr-1933	Off Barnegat	New Jersey	Military - U.S. Navy	73	76
23-Apr-1933	"Near Castrovillari , Calabria"	Italy	Air Orient	5	8
29-Apr-1933	Traunstein	Germany	Eurasia	4	4
9-May-1933	Near Viladrau	Spain	Aeropostale - La Tecoere Company	6	6
2-Jun-1933	Bowling Green	Virginia	Eastern Air Transport	1	1
11-Jun-1933	Glenview	Illinois	Palwaukee	9	9
18-Jul-1933		Aegean Sea	Societa Anonima Aero Expresso Italiana	6	6
29-Aug-1933	Quay	New Mexico	Trans Continental and Western Air	5	5
12-Sep-1933	Near Ljubljana	Yugoslavia	Aeroput	8	8
10-Oct-1933	Chesterton	Indiana	United Air Lines	10	10
31-Oct-1933	Etobon	France	Air France	2	2
9-Nov-1933	Portland	Oregon	United Air Lines	4	9
10-Nov-1933	Moriarty	New Mexico	Trans Continental and Western Air	1	1
20-Nov-1933	Near Tsinan	China	China National Aviation Corporation	8	8
21-Nov-1933	"Near Kharkov , Ukraine"	USSR	Kalinin	14	20
24-Nov-1933	Wedron	Illinois	National Air Transport	2	2
11-Dec-1933	Hamburg	Germany	Deutsche Lufthansa	6	10
14-Dec-1933	Eshowe	South Africa	Union Airways	4	6
30-Dec-1933	Near Ruysselede	Belgium	Imperial Airways	10	10
15-Jan-1934	Corbigny	France	Air France	14	14
20-Jan-1934	Carombe	France	Air France	2	2
23-Feb-1934	Near Salt Lake City	Utah	Boeing Aircraft Company	8	8
26-Feb-1934	Rio de Oro	Morocco	Air France	1	6
6-Mar-1934	Petersburg	Illinois	American Airways	4	4
10-Mar-1934	Pereira	Colombia	Pan American Airways (Scadta)	5	6
22-Mar-1934	Near Lima	Peru	Pan American Grace Airlines	3	15
10-Apr-1934	Ningpo Bay	China	China National Aviation Corporation	3	3
9-May-1934		English Channel	Air France	6	6
31-May-1934	Croydon	England	Air France	2	2
9-Jun-1934	Mongaup Mountain	New York	American Airways	7	7
11-Jun-1934	Junin	Argentina	Panagra	5	10
22-Jun-1934	Chausseehausen	Germany	Deutsche Lufthansa	1	7
23-Jun-1934	Burbank	California	Aerevias Centrales Air Service	1	1
9-Jul-1934	San Bernardino	California	United Air Services	3	4
27-Jul-1934	Near Tuttlingen	Germany	Swissair	12	12
5-Aug-1934	Bahia	Brazil	Air France	2	2
10-Aug-1934	Ningbo	China	China National Aviation Corporation	?	?
31-Aug-1934	Amazonia	Missouri	Rapid Air Transport	5	5
2-Oct-1934		English Channel	Hillman Airways	7	7
3-Oct-1934	Near Winton	Australia	Qantas	3	3
19-Oct-1934	Bass Strait	Australia	Holyman Airways	11	11
2-Nov-1934	Kiapit	Australia	Holdens Air Transport Service	2	4
15-Nov-1934	Near Longreach	Australia	Qantas	4	4
15-Nov-1934	Amazonia	Montana	Rapid Air Transport	2	2
7-Dec-1934	Salchau	Germany	Deutsche Lufthansa	3	3
8-Dec-1934	Columbia	Missouri	Braniff Airlines	1	1
10-Dec-1934	Palma Soriano	Cuba	Cubana de Aviacion	4	8
20-Dec-1934	Rutbah Wells	Syria	KLM Royal Dutch Airlines	7	7
22-Dec-1934	Sunbright	Tennessee	American Airlines	1	1
8-Jan-1935	Near Karachi	Pakistan	Indian Air Force	0	2
26-Jan-1935	Pittsburgh	Pennsylvania	Trans Continental and Western Air	1	1
31-Jan-1935	Stettin	Germany	Deruluft	11	11
7-Mar-1935	Schievelbein	Germany	Deruluft	3	?
15-Mar-1935	El Arish	Egypt	Misrair	3	6
29-Mar-1935	Off Samland	Germany	Deutsche Lufthansa	5	5
1-Apr-1935	Beauvais	France	Air France	1	3
6-Apr-1935	Brilon	Germany	KLM Royal Dutch Airlines	7	7
1-May-1935	Near Walsenberg	Colorado	Varney Air Lines	1	1
6-May-1935	Atlanta	Missouri	Trans Continental and Western Air	5	14
18-May-1935	Flint	Michigan	Knowles Flying Service of Detroit	3	12
18-May-1935	Near Moscow	Russia	Gor'ky Eskadril'ya	50	50
27-May-1935	Glendo	Wyoming	Wyoming Air Service	1	1
28-May-1935	Maywood	Illinois	Chicago and Southern Airlines	2	2
29-May-1935	San Barbra	Honduras	?	6	9
24-Jun-1935	Medellin	Colombia	Servicio Aereo Columbiano / SCADTA	17	20
14-Jul-1935	Amsterdam	Netherlands	KLM Royal Dutch Airlines	6	20
19-Jul-1935	Off Chandeleur Island	Mississippi	Wedell-Williams Air Service Corporation	2	2
20-Jul-1935	Pian Giacomo	Switzerland	KLM Royal Dutch Airlines	13	13
13-Aug-1935	Hangow	China	China National Aviation Corporation	?	?
14-Aug-1935	Near Gilmer	Texas	Delta Air Lines	4	4
15-Aug-1935	Near Glendo	Wyoming	Aero Mayflower Transit Co	3	3
15-Aug-1935	"Walakpa , near Point Barrow"	Alaska	Private	2	2
1-Sep-1935	Burbank	California	Western Air Express	3	3
13-Sep-1935	Near Tambo	Panama	Panama Airways	8	8
2-Oct-1935	"Off Finders Island , Victoria"	Australia	Holyman Airways	5	5
7-Oct-1935	Near Cheyenne	Wyoming	United Air Lines	12	12
9-Oct-1935		Gulf of Finland	Aero O-Y	6	6
21-Oct-1935	Troy	New York	Chamberlin Flying Service	1	6
30-Oct-1935	Cheyenne	Wyoming	United Air Lines	4	4
2-Nov-1935	Off Nhambupe	Brazil	Air France	4	4
9-Nov-1935	Near Fort Worth	Texas	Braniff Airlines	1	1
9-Nov-1935	Near Juticalpa	Honduras	TACA	14	14
11-Nov-1935	Istres	France	Air France	3	3
4-Dec-1935	Tours	France	Air Bleu	1	2
10-Dec-1935	Croydon	England	Sabena	11	11
24-Dec-1935	Breslau	Germany	Deutsche Lufthansa	3	3
31-Dec-1935	Off Alexandria	Egypt	Imperial Airways	12	13
14-Jan-1936	Goodwin	Arkansas	American Airlines	17	17
17-Jan-1936	Near Cordillera	Boliva	Lloyd Aereo Boliviano	13	13
21-Jan-1936	"Off Ajaccio , Corsica"	France	Air France	6	6
29-Jan-1936	Denton	Texas	American Airlines	1	6
10-Feb-1936		Atlantic Ocean	Air France	6	6
15-Feb-1936		South Atlantic Ocean	Deutsche Lufthansa	4	4
5-Mar-1936	Near Tengya	China	China National Aviation Corporation	0	6
26-Mar-1936	Amemeca	Mexico	Compania de Mexico	14	14
1-Apr-1936	Pavillon	New York	American Airlines	2	2
7-Apr-1936	Uniontown	Pennsylvania	Trans Continental and Western Air	13	15
11-Apr-1936	Port of Spain	Trinidad	Pan American Airways	3	25
15-Apr-1936	Near Turin	Italy	Avio Linee Italiane	7	7
17-Apr-1936		Switzerland	Deutsche Lufthansa	3	5
21-Apr-1936	Senlis	France	Sabena	2	2
30-Apr-1936	Basel	Switzerland	Swissair	2	2
16-May-1936	Mount Waverley	Australia	Holyman Airways	2	2
9-Jun-1936	Malmo	Sweden	A B Aerotransport	1	15
13-Jun-1936	Hannover	Germany	Deutsche Lufthansa	1	6
16-Jun-1936	Mt. Lihesten	Norway	Den Norske Luftfartskole	7	7
31-Jul-1936	Off Channel Islands	Jersey	Guernsey Airways	7	7
2-Aug-1936	Mazamet	France	Air France	3	3
3-Aug-1936		Mexico	Mexicana	1	1
5-Aug-1936	St. Louis	Missouri	Chicago Southern Airlines	8	8
6-Aug-1936	Choco	Colombia	SCADTA	2	2
12-Aug-1936	Altenkirchen	Germany	British Airways	2	2
22-Aug-1936	Mirabella	Greece	Imperial Airways	2	11
